epoch,accuracy,loss,val_accuracy,val_loss
0,0.3567672371864319,1.3328806161880493,0.4063400626182556,1.2782630920410156
1,0.6293938755989075,1.005928874015808,0.6455331444740295,0.9048820734024048
2,0.7885413765907288,0.5910590291023254,0.7118155360221863,0.7736747860908508
3,0.845004141330719,0.41475924849510193,0.7002881765365601,0.7764134407043457
4,0.8807085752487183,0.3272053003311157,0.6945244669914246,0.8088470101356506
5,0.9067257046699524,0.2701595723628998,0.6772334575653076,0.8683185577392578
6,0.9310821890830994,0.21430955827236176,0.6714697480201721,0.8942583799362183
7,0.9451978802680969,0.18199118971824646,0.680115282535553,0.9407572150230408
8,0.9515637755393982,0.1598728448152542,0.6657060384750366,1.0363149642944336
9,0.9606974720954895,0.134168341755867,0.6714697480201721,1.0799230337142944
10,0.9634652733802795,0.12069087475538254,0.6772334575653076,1.1194279193878174
11,0.9659562706947327,0.11892110854387283,0.6599423885345459,1.1955448389053345
12,0.9706615209579468,0.09798625856637955,0.6628242135047913,1.2589229345321655
13,0.9701079726219177,0.0962093397974968,0.680115282535553,1.2692590951919556
14,0.9703847169876099,0.08777462691068649,0.6714697480201721,1.3277767896652222
15,0.9723221659660339,0.08412814140319824,0.6743515729904175,1.3150628805160522
16,0.977027416229248,0.07900015264749527,0.6685879230499268,1.3808085918426514
17,0.974259614944458,0.08154506236314774,0.6657060384750366,1.398636817932129
18,0.9753667116165161,0.07882530242204666,0.6657060384750366,1.407181978225708
19,0.9778577089309692,0.07243213802576065,0.6772334575653076,1.4165788888931274
20,0.9773041605949402,0.06848572939634323,0.680115282535553,1.4284089803695679
21,0.9767506122589111,0.07068987935781479,0.6628242135047913,1.4740248918533325
22,0.9773041605949402,0.06780566275119781,0.6829971075057983,1.4976556301116943
23,0.9781345129013062,0.06486667692661285,0.6599423885345459,1.552533507347107
24,0.9786880612373352,0.06256451457738876,0.6628242135047913,1.5699870586395264
